RXCUI1,RXAUI1,STYPE1,REL,RXCUI2,RXAUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
12819654,AUI,RO,,12987171,AUI,has_active_ingredient,164829365,,MTHSPL,,,,,4096,
12819658,AUI,RO,,12984983,AUI,has_active_moiety,164821270,,MTHSPL,,,,,4096,
12819658,AUI,RO,,12985882,AUI,has_active_moiety,164825370,,MTHSPL,,,,,4096,
12819658,AUI,RO,,12987170,AUI,has_active_moiety,164831517,,MTHSPL,,,,,4096,
12819658,AUI,RO,,12987171,AUI,has_active_moiety,164831543,,MTHSPL,,,,,4096,
12820345,AUI,RO,,12984984,AUI,has_active_ingredient,164818266,,MTHSPL,,,,,4096,
12820345,AUI,RO,,12984985,AUI,has_active_ingredient,164818305,,MTHSPL,,,,,4096,
12820348,AUI,RO,,12984984,AUI,has_active_moiety,164821355,,MTHSPL,,,,,4096,
12820348,AUI,RO,,12984985,AUI,has_active_moiety,164821327,,MTHSPL,,,,,4096,
12820524,AUI,RO,,12984981,AUI,has_active_ingredient,164818288,,MTHSPL,,,,,4096,
12820524,AUI,RO,,12984982,AUI,has_active_ingredient,164818271,,MTHSPL,,,,,4096,
12820527,AUI,RO,,12984981,AUI,has_active_moiety,164821250,,MTHSPL,,,,,4096,
12820527,AUI,RO,,12984982,AUI,has_active_moiety,164821343,,MTHSPL,,,,,4096,
12883879,AUI,RO,,12985049,AUI,has_inactive_ingredient,164820557,,MTHSPL,,,,,4096,
12921968,AUI,RO,,12986983,AUI,has_inactive_ingredient,164828056,,MTHSPL,,,,,4096,
12922131,AUI,RO,,12987172,AUI,has_inactive_ingredient,164831029,,MTHSPL,,,,,4096,
12955925,AUI,RO,,12984983,AUI,has_active_ingredient,164818308,,MTHSPL,,,,,4096,
12955925,AUI,RO,,12985882,AUI,has_active_ingredient,164823952,,MTHSPL,,,,,4096,
12955925,AUI,RO,,12987170,AUI,has_active_ingredient,164829310,,MTHSPL,,,,,4096,
12955925,AUI,RO,,12987171,AUI,has_active_ingredient,164829349,,MTHSPL,,,,,4096,
12955926,AUI,RO,,12984983,AUI,has_active_moiety,164821246,,MTHSPL,,,,,4096,
12955926,AUI,RO,,12985882,AUI,has_active_moiety,164825449,,MTHSPL,,,,,4096,
12955926,AUI,RO,,12987170,AUI,has_active_moiety,164831513,,MTHSPL,,,,,4096,
12955926,AUI,RO,,12987171,AUI,has_active_moiety,164831504,,MTHSPL,,,,,4096,
12984979,AUI,RO,,12984984,AUI,has_active_ingredient,164818291,,MTHSPL,,,,,4096,
12984979,AUI,RO,,12984985,AUI,has_active_ingredient,164818309,,MTHSPL,,,,,4096,
12984980,AUI,RO,,12984984,AUI,has_active_moiety,164821374,,MTHSPL,,,,,4096,
12984980,AUI,RO,,12984985,AUI,has_active_moiety,164821260,,MTHSPL,,,,,4096,
12984981,AUI,RO,,2978584,AUI,inactive_ingredient_of,164819499,,MTHSPL,,,,,4096,
12984981,AUI,RO,,2978605,AUI,inactive_ingredient_of,164818927,,MTHSPL,,,,,4096,
12984981,AUI,RO,,2978624,AUI,inactive_ingredient_of,164818839,,MTHSPL,,,,,4096,
12984981,AUI,RO,,2994597,AUI,inactive_ingredient_of,164818367,,MTHSPL,,,,,4096,
12984981,AUI,RO,,3621376,AUI,inactive_ingredient_of,164819625,,MTHSPL,,,,,4096,
12984981,AUI,RO,,4236497,AUI,inactive_ingredient_of,164818565,,MTHSPL,,,,,4096,
12984981,AUI,RO,,4236931,AUI,inactive_ingredient_of,164819396,,MTHSPL,,,,,4096,
12984981,AUI,RO,,12750250,AUI,active_ingredient_of,164817998,,MTHSPL,,,,,4096,
12984981,AUI,RO,,12750251,AUI,active_moiety_of,164821046,,MTHSPL,,,,,4096,
12984981,AUI,RO,,12820524,AUI,active_ingredient_of,164818088,,MTHSPL,,,,,4096,
12984981,AUI,RO,,12820527,AUI,active_moiety_of,164821056,,MTHSPL,,,,,4096,
12984981,AUI,RO,,12984986,AUI,active_ingredient_of,164818108,,MTHSPL,,,,,4096,
12984981,AUI,RO,,12984987,AUI,active_moiety_of,164821121,,MTHSPL,,,,,4096,
12984982,AUI,RO,,2978584,AUI,inactive_ingredient_of,164819452,,MTHSPL,,,,,4096,
12984982,AUI,RO,,2978605,AUI,inactive_ingredient_of,164819569,,MTHSPL,,,,,4096,
12984982,AUI,RO,,2978624,AUI,inactive_ingredient_of,164818909,,MTHSPL,,,,,4096,
12984982,AUI,RO,,2994597,AUI,inactive_ingredient_of,164819339,,MTHSPL,,,,,4096,
12984982,AUI,RO,,3621376,AUI,inactive_ingredient_of,164818600,,MTHSPL,,,,,4096,
12984982,AUI,RO,,4236497,AUI,inactive_ingredient_of,164818926,,MTHSPL,,,,,4096,
12984982,AUI,RO,,12750250,AUI,active_ingredient_of,164817997,,MTHSPL,,,,,4096,
12984982,AUI,RO,,12750251,AUI,active_moiety_of,164821045,,MTHSPL,,,,,4096,
12984982,AUI,RO,,12820524,AUI,active_ingredient_of,164818086,,MTHSPL,,,,,4096,
12984982,AUI,RO,,12820527,AUI,active_moiety_of,164821149,,MTHSPL,,,,,4096,
12984982,AUI,RO,,12984986,AUI,active_ingredient_of,164818087,,MTHSPL,,,,,4096,
12984982,AUI,RO,,12984987,AUI,active_moiety_of,164821192,,MTHSPL,,,,,4096,
12984983,AUI,RO,,2600272,AUI,inactive_ingredient_of,164819501,,MTHSPL,,,,,4096,
12984983,AUI,RO,,2600452,AUI,inactive_ingredient_of,164819472,,MTHSPL,,,,,4096,
12984983,AUI,RO,,2600730,AUI,inactive_ingredient_of,164818703,,MTHSPL,,,,,4096,
12984983,AUI,RO,,3504154,AUI,inactive_ingredient_of,164818512,,MTHSPL,,,,,4096,
